elf_id,parent_id,name,age,savings,alive,family_id
1,0.0,Beleg,174,578,False,1
2,0.0,Celegorm,187,486,False,1
4,0.0,Earendur,143,787,False,1
5,0.0,Anarion,33,327,False,1
6,0.0,Legolas,240,615,False,1
7,1.0,Araman,37,745,True,1
8,1.0,Finwe,28,440,False,1
14,1.0,Gimli,92,688,False,1
3,2.0,Denethor,1,268,True,1
15,5.0,Amroth,8,165,False,1
9,6.0,Elendil,131,35,True,1
10,6.0,Caranthir,133,782,False,1
12,7.0,Beren,9,931,False,1
11,10.0,Aerandir,97,757,True,1
13,10.0,Argon,116,526,False,1
0,,Nenya,495,589,False,1
17,16.0,Maglor,116,963,False,2
20,16.0,Daeron,177,161,True,2
18,17.0,Nimloth,115,656,False,2
19,17.0,Nimrodel,46,420,False,2
27,17.0,Eonwe,70,685,True,2
23,18.0,Eolande,104,770,True,2
21,19.0,Indis,11,200,False,2
22,19.0,Finarfin,32,750,True,2
26,22.0,Arminas,5,446,False,2
24,23.0,Isildur,4,659,True,2
25,24.0,Ringil,4,807,False,2
28,25.0,Maeglin,2,719,True,2
16,,Halifirien,325,100,False,2
30,29.0,Feanor,627,524,False,3
33,29.0,Erestor,552,943,True,3
34,29.0,Orome,504,548,False,3
36,29.0,Imrahil,364,212,False,3
31,30.0,Maedhros,34,381,True,3
32,30.0,Gwindor,421,166,False,3
39,30.0,Ossiriand,449,40,False,3
35,31.0,Aragorn,6,655,True,3
38,31.0,Glorifindel,13,144,True,3
43,33.0,Gandalf,283,679,False,3
37,34.0,Ecthelion,97,643,False,3
46,34.0,Elatan,403,544,True,3
40,35.0,Balador,1,596,True,3
41,35.0,Elrond,2,196,False,3
44,37.0,Olorin,89,661,False,3
42,38.0,Celebrimbor,12,205,False,3
45,40.0,Huan,1,556,False,3
29,,Mandos,795,206,False,3
48,47.0,Oropher,42,518,False,4
49,47.0,Thranduil,75,158,True,4
51,47.0,Arvandor,64,183,False,4
55,48.0,Narsil,13,671,False,4
50,49.0,Ilmare,34,184,False,4
52,49.0,Mablung,64,487,False,4
54,50.0,Namo,1,308,True,4
53,51.0,Nargothrond,24,480,False,4
47,,Elendil,83,771,True,4
57,56.0,Cirdan,435,920,False,5
61,56.0,Radagast,413,140,False,5
58,57.0,Frodo,300,575,False,5
62,57.0,Yavanna,198,963,False,5
59,58.0,Earendil,67,560,True,5
64,58.0,Araglas,74,56,True,5
60,59.0,Gildor,2,684,True,5
63,60.0,Lorien,2,23,False,5
56,,Edrahil,831,357,True,5
66,65.0,Mithrandir,721,386,False,6
72,65.0,Orcrist,663,832,True,6
76,65.0,Haldir,493,66,True,6
67,66.0,Palantir,664,296,True,6
68,66.0,Baranor,321,386,False,6
69,66.0,Faramir,191,155,False,6
70,67.0,Gelmir,284,588,True,6
73,68.0,Barahir,114,685,False,6
71,69.0,Nandor,12,135,False,6
74,71.0,Glorfindel,1,731,True,6
75,71.0,Ingwe,5,913,False,6
65,,Inglor,771,536,False,6
78,77.0,Curufin,381,346,False,7
79,78.0,Eomer,238,66,False,7
80,78.0,Felagund,40,853,False,7
82,78.0,Galadriel,235,810,False,7
83,78.0,Manwe,54,871,False,7
81,79.0,Fingolfin,8,668,True,7
86,79.0,Luthien,216,702,True,7
87,80.0,Gil-galad,2,671,True,7
88,80.0,Durin,6,298,False,7
89,80.0,Haldor,17,548,False,7
84,83.0,Nienna,39,555,True,7
85,84.0,Elatan,39,664,True,7
77,,Morgoth,718,8,True,7
